2172734	1	B1								
2194307	1	C1								
2197063	1	D1								
2202274	1	C1								
2204115	1	D1								
2234469	1	B1								
2237855	1	B1								
2248745	1	A5								
2250415	1	C1								
2252909	1	B2								
2256114	1	B3								
2262535	1	A3								
2262883	1	C1								
2268589	1	B2								
2283928	1	C3								
2294283	1	D2								
2297371	1	D2								
2298250	1	B3								
2301086	1	A5								
2303442	1	C2								
2308004	1	B3								
2308496	1	B2								
2308786	1	B2								
2311813	1	B2								
2311930	1	B3								
2311934	1	B2								
2312551	1	C3								
2313516	1	B3								
2313522	1	B1								
2314078	1	B1								
2314193	1	C2								
2314402	1	B3								
2315485	1	E1								
2315513	1	B3								
2316023	1	C1								
2317127	1	B2								
2317174	1	B1								
2317350	1	B2								
2317757	1	B3								
2318134	1	B3								
2318524	1	A4								
2318956	1	C2								
2319606	1	A3								
2319678	1	B3								
2320609	1	B3								
2321071	1	B3								
2321802	1	C3								
2322138	1	C1								
2322803	1	B2								
2323019	1	C2								
2323021	1	A4								
2323212	1	E1								
2323240	1	A5								
2323291	1	D3								
2323927	1	B3								
2324312	1	C2								
2324375	1	C3								
2324885	1	C1								
2325594	1	B2								
2325640	1	B3								
2325739	1	B3								
2326753	1	C2								
2327827	1	D1								
2329965	1	B3								
2330160	1	C3								
2331618	1	C3								
2331638	1	C1								
2331811	1	C1								
2332751	1	B1								
2333622	1	A4								
2333946	1	A5								
2334274	1	B2								
2334619	1	D1								
2335299	1	C2								
2335383	1	B2								
2335389	1	B3								
2336227	1	B1								
2337408	1	D2								
2343123	1	C3								
2344925	1	C1								
2347988	1	C2								
2348035	1	C1								
2349395	1	B2								
2354269	1	B1								
